iter	F1	Logloss
0	0.9356725146	0.6461876986
1	0.9442815249	0.6074608251
2	0.9408284024	0.5702343322
3	0.9583333333	0.5386359232
4	0.9552238806	0.506237532
5	0.9642857143	0.4745352226
6	0.9642857143	0.4464785927
7	0.9671641791	0.4197358583
8	0.9671641791	0.3966711613
9	0.9671641791	0.3781082086
10	0.9671641791	0.3592336889
11	0.9671641791	0.3394147639
12	0.9640718563	0.3231727533
13	0.9640718563	0.3092425162
14	0.9640718563	0.2952970873
15	0.9640718563	0.2818788227
16	0.9640718563	0.2718134094
17	0.9640718563	0.2575354325
18	0.9640718563	0.2447514785
19	0.966966967	0.2323618102
20	0.9700598802	0.221319048
21	0.966966967	0.2122616015
22	0.9731343284	0.2036291089
23	0.9761904762	0.1955218733
24	0.9761904762	0.1869370979
25	0.9792284866	0.1794731575
26	0.9821428571	0.1727312991
27	0.9850746269	0.1663855502
28	0.9821428571	0.1603690532
29	0.9791044776	0.1562727543
30	0.9821428571	0.1521209583
31	0.9821428571	0.1475302378
32	0.9820359281	0.1430241769
33	0.9791044776	0.1392075388
34	0.9850746269	0.1341364426
35	0.9820359281	0.1313171219
36	0.9820359281	0.1278453459
37	0.9850746269	0.1239910377
38	0.9850746269	0.120589365
39	0.9850746269	0.1173873533
40	0.9850746269	0.1141539122
41	0.9880952381	0.1114693692
42	0.9880952381	0.1083329853
43	0.9880952381	0.1059308052
44	0.9880952381	0.1034625204
45	0.9880952381	0.1013092911
46	0.9880952381	0.09973952645
47	0.9880952381	0.09715900087
48	0.9880952381	0.09534364834
49	0.9880952381	0.0935954964
50	0.9880952381	0.09173353095
51	0.9880952381	0.08941345884
52	0.9880952381	0.08704386259
53	0.9880952381	0.0857035319
54	0.9880952381	0.08379788984
55	0.9880952381	0.08230855172
56	0.9880952381	0.08149537706
57	0.9880952381	0.080291129
58	0.9880952381	0.07855476413
59	0.9880952381	0.07764387967
60	0.9880952381	0.07610155407
61	0.9880952381	0.07458457612
62	0.9880952381	0.07321049874
63	0.9880952381	0.07278017412
64	0.9880952381	0.07170305754
65	0.9910979228	0.07026125255
66	0.9910979228	0.06981952567
67	0.9910979228	0.06851714536
68	0.9910979228	0.06743131604
69	0.9910979228	0.066548657
70	0.9910979228	0.06562840311
71	0.9910979228	0.06454574434
72	0.9910979228	0.06398615084
73	0.9910979228	0.06298134201
74	0.9910979228	0.06233375114
75	0.9910979228	0.06101709918
76	0.9910979228	0.06000661432
77	0.9910979228	0.05931433042
78	0.9910979228	0.05858875994
79	0.9910979228	0.05764986339
80	0.9910979228	0.05701428129
81	0.9910979228	0.05656844691
82	0.9910979228	0.05547410563
83	0.9910979228	0.05482927122
84	0.9910979228	0.05411745373
85	0.9910979228	0.05352775256
86	0.9910979228	0.05270069524
87	0.9910979228	0.0519153528
88	0.9910979228	0.05108571471
89	0.9910979228	0.0502618363
90	0.9910979228	0.05002767161
91	0.9910979228	0.04957479343
92	0.9910979228	0.04889724966
93	0.9910979228	0.04824200011
94	0.9910979228	0.04766393963
95	0.9910979228	0.04674774304
96	0.9910979228	0.04608127109
97	0.9910979228	0.04569074146
98	0.9940828402	0.04508503278
99	0.9940828402	0.04446038447
100	0.9940828402	0.04412037448
